query,intent
Play something interesting from a soundtrack recorded by Vishal-shekhar in the thirties that's on Iheart,PlayMusic
Put any 1972 record on.,PlayMusic
Play music by larry mullen jr.,PlayMusic
Play music from Lastfm.,PlayMusic
Play a soundtrack by Wade Macneil from 1969.,PlayMusic
Play Jimmy Lafave on Vimeo.,PlayMusic
Play some Rumba Africana.,PlayMusic
Play music from the thirties.,PlayMusic
Let me listen to an eighties ep.,PlayMusic
last song by Latifa,PlayMusic
An interesting piece from 1991 please,PlayMusic
Play a song from 1993 on Youtube,PlayMusic
Play Device music from the fourties.,PlayMusic
"I'd like to hear music from 1951, preferably a soundtrack.",PlayMusic
Play music through Groove Shark.,PlayMusic
Play me a good ep from 1989 by jenifer,PlayMusic
I want to listen to the track Close To The Edge,PlayMusic
I want to listen to some Aaliyah,PlayMusic
I want to listen to Merrily We Roll Along by Marko Desantis.,PlayMusic
Play the newest Roger Troutman track possible,PlayMusic
Play some P. J. Proby,PlayMusic
Play some diva house.,PlayMusic
I want to hear the album Picchio Dal Pozzo from Con Hunley,PlayMusic
play almost independence day by Vitas,PlayMusic
Play the song from the genre Sunshine Reggae that appeals to me.,PlayMusic
I want to listen to martina mcbride music from 1995,PlayMusic
play some fifties tune on Youtube,PlayMusic
Play the track Coma,PlayMusic
I wish to listen to Roni Duani 's music.,PlayMusic
put my Family Road Trip playlist,PlayMusic
Play New World on groove shark,PlayMusic
Start playing anything Mike Muir made in the thirties,PlayMusic
Play some thirties Frank Wildhorn,PlayMusic
Play a sound track from Gregory Douglass.,PlayMusic
Play music from 1972,PlayMusic
I want to play a song from the nineties by Roddy Woomble,PlayMusic
Plaly The Ladybug Transistor by Loreena Mckennitt.,PlayMusic
Play the latest music from Mark Knopfler.,PlayMusic
Play music from the eighties.,PlayMusic
Play Tyrants And Wraiths,PlayMusic
Play Before I Grew Up To Love You by Wafah Dufour,PlayMusic
